IG_ID	Threshold	Max_IG	Feature_0	Feature_1	Feature_2	Feature_3	Feature_4	Feature_5	Feature_6	Feature_7	Feature_8	Feature_9	Feature_10	Feature_11	Feature_12	Feature_13	Feature_14	Feature_15	Feature_16	Feature_17	Feature_18	Feature_19	Feature_20	Feature_21	Feature_22	Feature_23	Feature_24	Feature_25	Feature_26	Feature_27	Feature_28	Feature_29	Feature_30	Feature_31	Feature_32	Feature_33	Feature_34	Feature_35	Feature_36	Feature_37	Feature_38	Feature_39	Feature_40	Feature_41	Feature_42	Feature_43	Feature_44	Feature_45	Feature_46	Feature_47	Feature_48	Feature_49	Feature_50	Feature_51	Feature_52	Feature_53	Feature_54	Feature_55	Feature_56	Feature_57	Feature_58	Feature_59	Feature_60	Feature_61	Feature_62	Feature_63	Feature_64	Feature_65	Feature_66	Feature_67	Feature_68	Feature_69	Feature_70	Feature_71	Feature_72	Feature_73	Feature_74	Feature_75	Feature_76	Feature_77	Feature_78	Feature_79	Feature_80	Feature_81	Feature_82	Feature_83	Feature_84	Feature_85	Feature_86	Feature_87	Feature_88	Feature_89	Feature_90	Feature_91	Feature_92	Feature_93	Feature_94	Feature_95	Feature_96	Feature_97	Feature_98	Feature_99	Feature_100	Feature_101	Feature_102	Feature_103	Feature_104	Feature_105	Feature_106	Feature_107	Feature_108	Feature_109	Feature_110	Feature_111	Feature_112	Feature_113	Feature_114	Feature_115	Feature_116	Feature_117	Feature_118	Feature_119	Feature_120	Feature_121	Feature_122	Feature_123	Feature_124	Feature_125	Feature_126	Feature_127	Feature_128	Feature_129	Feature_130	Feature_131	Feature_132	Feature_133	Feature_134	Feature_135	Feature_136	Feature_137	Feature_138	Feature_139	Feature_140	Feature_141	Feature_142	Feature_143	Feature_144	Feature_145	Feature_146	Feature_147	Feature_148	Feature_149
ML_X_16_0	0.2	1	0.0136920648704	0.00136169714197	-0.0250308287255	-0.00307757042652	-0.00546362063316	0.00278489277019	0.0228111231906	-0.0338570288239	-0.000522139651098	-0.00731133487087	-0.0389297367941	-0.0053587955631	0.000848832692475	0.0113437762716	0.0344355444495	0.0121678406048	0.00114741013491	-0.0528304764706	0.00806156135052	0.00196019710703	0.000282094193631	-0.0418217661988	0.0176631034088	0.028773658493	-0.0215257278607	-0.0116186824905	0.0735067383852	-0.00135264492258	0.00921719027704	-0.0257184906513	-0.0158634843748	-0.0415596346583	0.0263650574783	-0.0270778629937	-0.0429611448814	0.00143024087434	0.0408355806397	0.0459272819098	0.00582142196455	2.03850343152e-05	-0.0202403897714	0.0345898317535	0.0139399751654	0.0428137449951	-0.00939182397024	0.0283381796469	0.0195079566885	0.0399693625886	0.0480985741039	-0.016421113935	0.001266324646	-0.033883519932	0.0235505752276	-0.00272105659561	0.0322556953063	-0.0530107838763	-0.0238929038843	0.0144368048888	-0.0261057329241	-0.0172611668949	0.045715155754	-0.0171261536638	0.0423166990744	-0.00394018828337	-0.0138486075698	0.0687329835029	-0.0409100841664	0.00689408558947	0.000382013555177	-0.00267707010877	0.0247772700754	0.0348026810787	-0.00277161059576	0.00672079957427	0.0047743406188	0.051111220836	0.0131697955352	0.000356529906312	0.00207447755858	-0.00344346284906	0.000922637915485	-0.0166020229064	0.0106762107828	0.000901689024004	0.00807601822312	0.00219300320197	9.58493797288e-05	-0.000142579225135	-0.0416704336381	0.018333050327	-0.0218156480638	0.0294530801415	0.0429751103622	-0.00348595883217	-0.0273905968214	-0.0265312741101	-0.0401874468018	-0.00361671142498	0.000730780830022	-0.00457941536877	0.0252800269708	-0.00710877134788	-0.0142341118015	0.000507354985984	-0.00673286579064	0.0186822015053	-0.00710470021887	0.00096862303978	0.00548780012386	0.0164739030925	-0.025192597518	-0.0061784613032	-0.00182766913372	0.0157490737969	0.0136728996353	0.0190736748068	0.0615671783426	-0.00789648623293	0.0278689623388	-0.00812369873183	-0.00775033983122	0.0377572378122	0.0357517699756	0.00128892017239	0.0144660527207	0.0295920755268	0.0162156742173	0.0423506455041	0.00589922832815	-0.00430951507392	0.0131977602763	-0.0015951948736	0.00467690526299	0.0366784482896	-0.0013764937053	0.0258299630214	-0.0381768979065	0.0133988126751	-0.00576856835325	-0.0358224031433	0.0594984865831	0.00233111478912	0.0368308278788	0.00499260275204	0.00107126226662	-0.018991107745	0.0123080312008	-0.000731268015206	0.0470039881339	-0.0550092713113
ML_X_16_1	0.2	1	-0.0103393232544	-0.0086379969256	-0.000281487262168	-0.042446674161	-0.0511328407889	-0.0174080439027	0.0391095988825	-0.00934694031031	0.0495602025138	-0.0312219940302	-0.0440109216676	-0.00420620151746	-0.00860872079058	-0.0238900044563	-0.00123940270802	-0.0318712045741	0.0269664912047	-0.0482389438918	0.00969662776807	-0.0165347793249	0.000889791413924	-0.0296499743672	0.00650660867401	0.00449545220994	-0.0309476081266	-0.0193750654505	0.0444063032093	0.0681641671034	0.0050103819405	-0.025635474197	0.00440439008382	-0.0240902297955	0.0151511539653	-0.0400432726965	-0.0293316969094	-0.0142043962807	0.0363554738129	0.0542501454742	0.0555579676821	-0.0355761732048	-0.0254290803452	0.0236226840691	0.0213792930141	0.0534075152805	-0.0497440816854	0.0403338892645	0.0178164847987	0.0163014084776	0.0211700039196	-0.0213995513794	0.00132301076103	-0.000364514281824	0.0386597484821	0.00915764838224	0.0349917603032	-0.056045945934	-0.0164027537227	0.0101661125771	-0.0288436561474	0.0311099521901	0.0635108732623	-0.0109332456374	0.0559231322007	0.00335279943842	0.0137935979041	0.0761079215293	-0.0192171776494	-0.0130328148622	-0.0206038132033	0.00160317414242	0.0239851326411	0.0119328968997	-0.0419302518111	-0.0273883119768	-0.00178343022708	0.039679283014	0.0291994315842	0.0520908618597	-0.00427062162609	0.00141466650438	0.0271377286945	0.0271163506613	-0.0181636964338	0.00437410797889	-0.000532703585642	0.0191332147023	-0.000553615524061	-0.00379156102606	-0.0280899746227	-0.00594767171853	0.00171591935687	0.0433677155296	0.0503816953358	-0.0169916278788	0.0218806091602	0.0216596441749	0.00405056713025	-0.0241251440821	-0.00428483393813	-0.007956661565	0.0354295968761	-0.0295204431189	-0.0263235309522	0.00894095571221	0.0112546447244	-0.0219257616276	0.0139062798145	0.0243831320763	-0.0122603707177	-0.0180960515604	-0.0259964149482	-0.00260185415401	-0.0360448630734	0.00394853462959	0.00211515173891	0.00831507671125	0.028832379689	-0.0311862132645	0.0223182079581	-0.00646742502002	0.00643650806101	0.0404194771671	0.050641468019	0.0193222739381	0.0524616131389	0.0208154204542	0.00102600567517	0.057155121246	-0.0255233051838	0.0131779055469	0.0137019417358	-0.0224358741031	0.00382318247683	0.0130403108445	0.0280107918637	0.0186057581866	-0.0315714939936	-0.0136052341536	0.00860327083164	-0.00252051504887	-0.000965231287449	0.00517547167888	-0.0100964067111	-0.0128524802675	0.00131792276574	0.0026810425372	-0.0108873192553	-0.0327061070142	0.000334337870439	-0.0227100517134
ML_X_16_2	0.2	1	-0.00577264950844	0.0163636408401	-0.0105185892606	-0.00534278150063	-0.0210259933246	-0.00894717698406	0.0265434241249	-0.0257670972844	-0.00127706723486	-0.0553045553198	-0.0380925804529	-0.0190932625327	-0.0141290823754	0.00688239543662	0.00372516334425	0.0146739478769	-0.000699704457756	-0.0613485197199	0.0289136410698	0.00565709324674	-0.00104803804189	-0.0704034708973	-0.00315966437925	0.0221146762303	-0.0140810036196	-0.0309694394119	0.0701992142325	0.0246139868792	-0.0107904271704	0.0058262341308	-0.0233291497493	-0.0466775643221	0.0189724917542	-0.0353089709004	-0.0285125955874	0.00466660410855	0.0139088690213	0.0274458519448	-0.00142055582104	-0.0190381732164	-0.0242208925397	0.0234355021369	0.0287155125707	0.0485444551471	-0.0201792692748	0.0614653047039	0.059573623912	0.0067051978832	0.0295664770013	0.0083834640748	-0.0332434866266	-0.016087853504	0.0278708599767	0.0164617214697	0.0288633636224	-0.027229680859	-0.00442755573682	-0.00529749834109	-0.0321555006962	0.0203201865623	0.041509997871	0.000469017628987	0.0275368199093	-0.00595660451085	-0.0224104511056	0.0660720923872	-0.00942676109976	0.0248651580613	-0.00712844501694	0.00941309618726	-0.0240734247615	-0.00677749720306	-0.0165412625869	-0.00735240294885	0.00626321164394	0.0530587357905	0.0256929901629	0.0171297796803	-0.0472015862864	0.00341060504379	0.0130748772781	-0.00851778384961	0.0161295980403	-0.00282527086405	0.00334694872384	0.0120211605137	0.0100726549868	0.000124907888425	-0.00271016651853	-0.0197760386674	-0.0300467121842	0.0230412776684	0.0519290696427	-0.0336717141552	-0.0232276902127	0.0157005067565	-0.0138928317808	-0.0115777802904	-0.00924691570707	0.0179212930271	0.0468751964531	-0.00533353028356	-0.00663469031705	0.0101848088825	-0.0210434982312	0.00977647034766	-0.00955144302395	-0.0215591439856	0.0199384997995	0.0137628773319	0.0236652628988	-0.00904717106686	0.0283460980328	-0.0214934718331	0.0112741382011	0.00558827543886	0.0256740315656	-0.0321560842952	-0.0062846890651	0.0144010018712	0.0216969533072	0.0352868458968	-0.0282602651716	0.0283940750493	0.0115625517481	0.00337579248883	0.0267469303614	0.0370881174585	-0.0116952735805	-0.00174015793217	0.0283133458457	-0.0334804608626	-0.0126774416296	0.0258925619358	-0.020930314916	-0.0283045933476	-0.029746925645	-0.0169304308127	0.00206335490897	-0.0198147022655	0.0247992895616	-0.00231955650221	0.0390755297381	0.00542623120059	-0.0122799413646	-0.00500566102387	-0.0128903311122	0.00332211072167	0.0110455914575	-0.0330128986575
ML_X_16_3	0.2	1	-0.0442795465206	-0.00505744965051	0.0208728335007	-0.00401047500008	0.00567292739923	0.0329787761831	0.0346506808886	0.00944164088413	0.004174618873	-0.0818556855766	-0.0639102906194	-0.0372132332766	-0.0226642488683	-0.00829104025469	0.0228614467818	-0.0169621930582	-0.050107062875	-0.0657441550179	-0.0078360824881	-0.0357122674569	0.00702514634924	-0.0465842419368	0.04453457719	0.010404095053	0.0207716654131	-0.0449171629149	0.0618387795253	0.0222760925356	-0.0382945399787	-0.0253149111713	0.00388499291557	-0.0565669948372	0.0511426525837	-0.0404564897162	0.00129034049579	-0.0206746127045	-0.00385974550052	0.0677609368148	0.0126094239069	-0.0152440295823	0.0258756640791	0.0632818123799	0.0566036423787	0.0100665117962	0.000814977398931	0.0294837341836	0.023261008921	0.0961916316341	-0.000709622187962	-0.0147769055764	-0.0154136520821	-0.0405550967302	0.0298889543489	0.0204575127528	0.0350771210402	-0.0639661873331	-0.00761262965774	0.075752582637	-0.0236931271841	-0.0304380270582	0.056249001085	-0.0176798258268	0.025565789849	-0.0114015104514	-0.0140228692656	0.0761844072719	-0.0189898424801	0.0180152267829	-0.00117432345202	0.0142517325073	0.00459349430552	-0.00671680354994	-0.0208131949129	0.00955576700272	-0.0169952141161	0.0423957311254	-0.00685775553871	0.0714044412125	-0.000779369751762	-0.02891004811	-0.00507288680651	0.00620847797751	-0.0128017341207	-0.0397310181919	-0.0420629346539	0.0532129852178	-0.018019902464	0.00252085066319	-0.0702318765514	0.014470732989	0.0378466835026	0.0103572127086	-0.00391639355129	-0.0266466498266	-0.0557682900623	-0.0315328844484	-0.00788032890957	-0.0207486963764	-0.0253753293261	-0.0398777509474	0.046918912248	0.0140079851456	0.0394835820565	0.0487567911916	-0.0047895837438	0.0137419710348	0.01816432026	-0.0421722203144	-0.0177207933326	0.0397099399524	0.00567184715569	0.017388527542	-0.0470591108293	-0.00145494391053	-0.0266792092295	0.0184536346177	0.0401681539937	-0.000478188902306	0.0293209600195	0.000524757981226	0.0721055510307	0.0163753687985	0.0120040497858	0.036796255211	0.0220465818537	0.0280851950185	-0.0168055519744	0.0264734365978	-0.0473594441267	0.015686274531	0.0522084147836	-0.0359424020029	0.075222179873	0.0438155054673	0.0366306623299	0.055025874629	0.0247837136578	0.0143250358312	0.0147642847165	-0.0228576857386	-0.00912912250214	-0.037930651451	0.0127660174143	-0.0326251804455	-0.0200165420133	0.0291997461873	0.0235436647158	-0.0254481213588	0.0570019114712	0.0050976232095
ML_X_16_4	0.2	1	-0.0174280845428	0.00293643797731	-0.0235518577651	0.0191725164734	0.0128932806079	-0.033371297545	0.0241825186662	0.00602646457717	-0.0667532888977	-0.047287148101	-0.0360270380509	0.0120810317502	-0.00356280595252	-0.0219603358288	0.0467060733682	-0.0358058435076	0.0315904535864	-0.0738468876398	-0.00940788859358	0.0377723962762	0.0138781556523	-0.0433137457891	-0.00580958079571	0.0238314818856	-0.039406124592	-0.0368937327832	0.028200661911	0.0220950492795	0.00166346164116	0.0382877589961	0.0188020105577	-0.0243006353688	-0.0168329853137	-0.022610393408	-0.0243554920354	0.0344536153785	0.0252567132254	0.0653163795431	0.0248806192198	-0.0045295041589	-0.0390560516812	0.0627971179869	0.0369781272785	0.0793619046004	-0.0361300171871	0.0301195626902	0.0748392696883	0.0223173184446	0.0554531322408	-0.00693455827911	-0.0362389328591	0.0221824343228	-0.00612627339545	0.0249335353549	0.0555588856089	-0.037472134059	-0.0363975307669	0.0118225324986	-0.0157592763604	0.00715139353343	0.0655671615734	0.0137169660303	0.0253025165216	-0.0232894832462	-0.0154026959042	0.041703663952	-0.0165045681961	0.0271522563754	0.00250270088967	0.0181306185767	0.00811083593034	0.0130305580901	-0.0377570386381	0.0414763772251	-0.0037920701317	0.0485063826627	0.0456603796771	0.00128422357989	-0.0192725811939	0.0409430151676	0.040667638903	0.00400929787846	0.0100523096493	-0.0251931819992	-0.00879038823815	0.00310970426426	-0.0256151714737	0.0306458582573	-0.00823597594129	-0.0115428423087	0.00372730882135	-0.00769355457478	0.0901982655752	-0.0458363517954	-0.00923819251801	0.0220048976387	-0.0316994385018	-0.0139215995308	0.0237081040276	-0.0266632464979	0.0552307430661	-0.0298805826523	-0.00554973473642	-0.0183333300638	-0.00403506125884	0.0109291339026	0.0352622982009	0.0160688684983	0.0144925555392	0.00510669543814	-0.0376792111999	0.0210445300824	0.0523028901051	0.00528487853094	-0.0111807750465	-0.00678080771741	0.0254684883547	-0.0651699088796	0.0085887956925	0.0134626495301	0.0119228097472	0.0376956904145	0.00824481433643	0.0566516591977	0.0180741268807	0.000212286181434	0.0306392021003	0.0200578325769	-0.0371469074241	0.0493408598475	0.0432978232308	-0.025258559354	0.0171858060181	0.0356817312808	0.0140314993256	0.0113148810278	0.0133018308222	5.99697512335e-05	0.012928611126	0.0225599796781	0.0307081413434	0.0239161896575	0.0376099209216	-0.00452999349934	-0.00695625361445	0.027315562279	0.0332842283611	-0.00706774268188	0.0421633830715	-0.0131826632325
ML_X_16_5	0.2	1	-0.00675119870687	0.0450867850845	0.0053179457727	-0.0391018084088	-0.0437847029332	-0.00883782649887	0.0372247706412	-0.0298726026799	0.0280402203511	-0.114261705143	-0.0756434516633	-0.0543921306734	0.00599154746995	0.033501209642	0.0176528330042	-0.015115950164	0.103118189185	-0.0361090906109	-0.012790844621	0.0445844036937	0.0122171719813	-0.0290962163772	0.0380396320386	0.0211014153076	-0.064496761595	-0.0536991928315	0.0514051747912	0.0122388822569	0.0366221205992	-0.024792064395	-0.0305633007912	-0.0353278968717	0.0223813339734	-0.0611306611329	-0.0757038454006	0.0141116490367	0.00657654545999	0.0683513159989	0.000529479935361	-0.00416686618315	-0.0458768028659	0.0697615449239	0.0136812810797	0.0548371303019	-0.027182944581	0.0379461898391	0.0582691259282	-0.0051222383705	0.0111687951586	0.0421799590521	-0.0408905428772	-0.00642764141289	-0.0387099593906	0.0372464082042	0.0802006413547	-0.0361158147686	-0.0450576398925	-0.0380312411652	-0.0255187785573	0.000889981989743	0.0642780013147	-0.0171477688818	0.0123261317744	-0.0148803774419	-0.0201360606607	0.136122158614	0.00672940827717	0.0417633687595	-0.0765347227828	-0.0630808718144	0.0363710976166	-0.0540218498728	-0.0429246910241	-0.0269432058155	0.012016975078	0.0895874036668	-0.00750079706316	0.00329907655513	0.0150703417869	0.0479760011386	0.027669983126	-0.0220083655551	0.00865647727776	0.0224299049116	0.000202292927718	0.0438322854969	-0.0137306146309	0.0059742254338	-0.0245346813897	-0.0109653447023	0.0340312550472	-0.038097760605	0.0609040967559	-0.0448727549314	-0.00361330873399	-0.000651640283343	-0.00991075027329	-0.0292992611396	-0.0322869265542	0.0110209636908	-0.0238298904811	-0.0485460523108	-0.0233932251489	-0.000670382519686	-0.0402715637025	0.0209503640123	-0.0323075990124	-0.0229294223831	0.0229094402319	-0.0109899833379	-0.0376900454652	0.0418028030794	0.00366789600629	0.00286014415306	-0.00668658761497	0.0484201835364	0.0379208347295	-0.0316738952817	0.0209096691832	0.00570220447587	0.00752051591328	0.0854718117902	-0.003626391523	0.0709108086064	-0.00752504743976	0.0106385504494	-0.0135548188528	-0.00697977390786	-0.0169344060876	0.0178169332876	0.0683764026973	0.0201330142799	-0.0116161177144	0.0726269340839	0.00289717534536	0.0236163152607	-0.0332905574903	0.00330342804103	0.0185656857223	-0.0380613929022	-0.00456336454325	-0.0126265427265	0.00181732532946	0.0249071342364	-0.0053642802967	0.0254074414268	0.00569582009525	0.0120393353777	0.0519489138067	-0.0327312381211
ML_X_16_6	0.2	1	-0.0191348102712	0.0259170164937	-0.00689372325796	-0.0286977208831	-0.058564183025	-0.0125319392647	0.0675998636934	-0.0177988233827	-0.0252014434728	-0.015580837557	-0.0594506607953	0.0185635242307	-0.0356677765743	0.00596219381255	0.027860959863	0.0768423059265	0.0443652879079	-0.0881255375555	-0.00516218621441	-0.00953590235742	0.0289465334254	-0.027931128931	0.00718956295684	-0.00646552413951	-0.0150186774963	-0.00988691257173	0.076579735613	0.0297825469805	0.0129133564134	-0.00537423891274	0.0178119306063	-0.0439158907829	0.0243974320034	-0.0148912144827	-0.0402977749835	-0.0352696575402	0.00878800887365	0.0425053205388	-0.00359809006452	-0.025942631989	-0.0134778402357	0.0269970490345	0.0143076768769	0.0346605593421	-0.0123115796579	0.0299675925884	0.0476968223366	0.029635077781	-0.00909015687825	0.00720156300353	-0.0305878817536	-0.00994936065804	0.0244534639775	0.00786210192049	0.039076875012	-0.0509560063605	-0.0314180241938	0.027492676891	-0.0159098022344	0.0197808275748	0.0730162391183	-0.00808330080361	0.062783748481	0.0180402672185	-0.00240384120256	0.0401630941243	-0.0750333901683	0.0319050805454	-0.0159067856161	-0.00425449858941	0.00114826835596	0.0102015822396	-0.0187123975226	-0.0243957334101	0.0137600765108	0.0742404068002	0.0122048168141	0.00952546665096	-0.012969581898	0.0420145646616	-0.00942492266966	-0.0203141270805	-0.0413282356102	-0.0237968196485	-0.0304498791474	0.0313070020214	0.00321238625001	0.0204814172281	0.0274106531267	-0.00199531823896	-0.0549330327055	0.0239930254514	0.0255231719885	-0.0251949449241	0.0111153450021	0.00502743794949	-0.0143549181843	-0.0408659575125	0.0269091126107	0.00744541425102	0.0222892946015	0.00610003036068	-0.0522162685488	0.0139171569419	0.00508722055676	-0.00461637216602	0.0447289301403	-0.0143176627037	-0.00722800272837	-0.028702428282	0.0183808545029	-0.0118640400914	-0.00698236615907	-0.00630869883023	-0.0579390595453	0.0182869565046	0.016913843591	-0.0319847354853	0.000317025008159	-0.0135905171628	0.0225146211192	0.00981669508637	-8.23097955325e-05	-0.00887829507626	-0.0039381496591	-0.0135269124639	-0.0075339451671	0.067663417265	0.00495498025282	-0.00077071616243	0.00706989530766	-0.0249485393023	0.0476424218857	0.0579783610385	0.0289362720721	-0.00952001246624	-0.0106312042732	-0.0268243729637	-0.00958588605998	-0.0302712243139	0.0513745451005	0.0306589308296	0.0152797973559	0.022708983391	-0.0264768623431	-0.0168796180683	0.0362851155004	0.00389251711425	0.089776212904	-0.0553217196712
ML_X_16_7	0.2	1	-0.0124896266053	0.00559924550336	0.00298732448283	-0.00876471932435	-0.0366914513071	-0.0211075750231	0.041278783762	-0.0116721410133	0.00580974440468	-0.052980768545	-0.0627845642256	-0.00309938344645	-0.0043882769724	0.00273387361474	0.0202617992771	0.00823925047897	0.0278660509182	-0.0342562425718	0.00081806214341	-0.0077130955097	0.00431044453864	-0.0414848666155	0.00507089229347	0.0142277492611	0.0016354441594	-0.0135371438309	0.0664395465248	0.0432779115948	-0.00663728087749	-0.0075408415997	-0.0018612020029	-0.0059388465321	0.0252276912057	-0.0211059432684	-0.0409127737658	-0.0181768668241	0.0296314103639	0.0510606655734	-0.00539377161954	-0.0179292916992	-0.0355547086983	0.0230252688984	0.00564688619544	0.0282155426856	-0.0172157627687	0.0166871254057	0.0311751494296	0.00370552384637	0.0257678049308	0.00567257532226	-0.007343602457	0.0081369869864	0.0204667355642	0.00349409947669	-0.0114127817423	-0.0449942404584	-0.0359757079963	-0.00614131715585	-0.0357875515803	0.00938814125835	0.0440817622669	-0.00886936187711	0.0102395131302	0.00360984342971	-0.0347710262466	0.0597210595486	-0.0245619440925	-0.00422185956301	0.00266710656451	-0.000238159667095	0.000206038783397	0.00373648931569	-0.0156228486139	0.00799378059859	0.00739836579158	0.0481849191349	0.0428028369695	0.0237154425446	-0.0362291492433	-0.0183939524384	0.0367668214179	-0.0024274514858	-0.0152575403874	-0.00113853658396	0.00655888301404	0.0192728104124	-0.0103594247856	0.0132150667826	-0.0333875373378	-0.0199499269793	-0.0292264660654	-0.00326791035224	0.0655400150896	-0.0138188124144	-0.030491308176	-0.00327037370017	-0.0156664052961	-0.046009145131	0.00551589476126	-0.00567982545689	0.0347796172946	0.00776469234053	-0.0109168180534	0.00184054239764	0.0120153882811	0.0324262778738	0.00815705952281	-0.00683643889822	0.0150302665289	0.0252474557484	0.014420264875	0.0142475288685	0.0152477182486	0.0104518536173	0.00494668786619	0.00716321375194	0.0237666674257	-0.00440789777936	0.0129905978178	0.0139660520965	-0.00334882299961	0.0532451296096	0.0289157744609	0.0123311384531	0.0193114951929	0.00186533519076	0.0251991491059	0.0482451887731	0.00598566877122	-0.0116581876205	0.0147629857859	-0.0367390628546	-0.00123984823377	0.0494143543559	0.00228052719032	0.00634777467786	-0.0135854011647	0.00455919154644	-0.0151975175227	-0.0240760821245	0.0373602600128	0.00431407902414	0.0231622306418	-0.0145326630181	0.0188484773183	0.00308625863207	0.0133118470641	-0.0228558168964	0.0151089686662	-0.0209523200838
ML_X_16_8	0.2	1	-0.00456200613141	0.0125198333075	-0.0083913329333	-0.0255896042921	-0.0272669492876	-0.00555261808795	0.0425201292133	-0.0315686158695	0.00714455499532	-0.0309814388975	-0.0412521549958	0.0066391323246	-0.0227578190739	-0.00746407874609	0.0270107478641	0.0297500621459	0.0261271697703	-0.0542457658623	0.0190589417813	-0.00974470114178	0.00266389408889	-0.0277605234517	0.0175809245188	0.00458136194175	0.00386099362577	-0.0252806999495	0.0646396735563	0.0322135663117	-0.00562093765369	-0.0159664507614	0.00912782174615	-0.0136052075263	0.0239909433543	-0.0225484763182	-0.0314294714537	-0.018892816054	0.0195805089707	0.0354054067854	0.00664123809056	-0.00732143187374	-0.0183412601698	0.00408114108482	0.00676368199734	0.0204349110859	-0.0147588482456	0.00972708890897	0.0375863304175	0.0239769383092	0.0258205653532	0.0119431020658	-0.0199256027456	-0.00213416793898	-0.00157888662686	0.00631736111189	0.0196280586597	-0.0278282925536	-0.0321663042261	0.00799204374004	-0.0164931502424	0.00182422106464	0.0350833006564	-0.00612064054742	0.0350028318615	0.00765708375913	-0.0123831825822	0.0428908581729	-0.0129420265288	0.00935883689187	-0.00181359173571	-0.00773547930642	0.0207605711278	0.0207211132244	-0.0142147489203	0.00585494848095	0.0106102147591	0.0526940994902	0.0105287811896	0.0125628835572	-0.0103467330479	0.0105554500399	0.00944022099361	-0.0054411867809	-0.0110085351784	0.00365602372736	-0.013135699253	0.00763572916477	0.00485673901872	0.00453082063931	-0.0195988396852	-0.0229174937083	-0.0361682359925	0.00915290799417	0.0434449284451	-0.0201534041002	-0.0103073201729	-0.00211782425965	-0.0176045536164	-0.0116576831424	0.0160715726489	-0.00710804756401	0.0434277026776	0.00358541553553	-0.0239010695476	0.00680608715589	-0.0207137959361	0.000200386750907	0.00961094233657	-0.014745298769	-0.006842837537	-0.00786810398034	0.00669113760596	0.00115443670974	0.00420531190338	0.0060066136199	-0.0112098078992	0.00359342516666	0.0410957834431	-0.0247764080112	0.0168634837544	-0.00794467297414	0.015372951847	0.0182804792223	0.0183197909618	0.0110370999729	0.0190355987261	0.00404196701891	0.0166801689618	0.0413737290632	0.00310973786073	0.00692690351204	0.00775813183964	-0.00365797845737	0.0207278446533	0.0368980764625	0.00960966177794	-0.00191304708424	-0.0245629838601	0.000261628149045	0.00445711383534	-0.0238540319715	0.0321645832489	0.00946320421539	0.0132658397084	-0.0140018025965	-0.00425708300684	-0.00305774102922	0.00409393731799	-0.017878845803	0.0491342365006	-0.0262203345737
ML_X_16_9	0.2	1	-0.0207395673408	0.0240721166304	-0.0170283197381	-0.00924753297826	-0.0490056158327	-0.0331338291218	-0.0179794212593	-0.0273113429134	-0.0109181224442	-0.0320623812192	0.0107575408101	-0.0303007325486	0.0168774460134	-0.0136643294278	-0.00397167845627	0.00339717114685	0.0323483406692	-0.0495727800591	0.00973962456619	-0.00901734728607	-0.00754544795113	-0.0484061923534	0.0180391795808	-0.018406923981	-0.0269780075063	-0.0231031627163	0.0861667390159	0.0164380505938	0.0191457556076	-0.0488686077306	-0.0171894796575	-0.02238492321	0.018842160346	-0.0384730470898	-0.0313033899964	0.00477601300184	0.0118589460618	0.0756146391862	-0.0102057729648	-0.00122533243771	-0.0255528479404	0.0335795529511	0.0108909689433	0.0406122828738	-0.0356309766532	0.0204461097285	0.0247851587361	0.00947787636238	0.0178653895417	0.013531623538	0.0060206415968	-0.0178373135017	-0.0267086929696	0.00500326203498	0.0779596165048	-0.0538213024597	-0.0119064012396	-0.010935222229	-0.0351267503944	-0.0152275466331	0.0661445874588	0.00337999573697	0.0350587125244	-0.0291480498024	0.0132363263048	0.0978677269366	-0.0396853354898	0.0275002919094	-0.0161638914583	0.00677510473058	0.0318637314144	-0.00948942339449	-0.0633798408212	-0.0126877164873	-0.0188649342672	0.0277795290551	0.0268337432059	0.0381400303651	-0.0356392832078	0.00771088842028	0.00763219663215	-0.0241432376031	0.00638071706604	0.0206872502968	3.49616878073e-05	-0.00306625062001	0.0194864584743	0.014636155839	-0.0141114647369	0.0333192985344	0.00493658410639	-0.0269990974446	0.0650122702167	-0.0330294801206	-0.0175919230434	0.00556388467937	-0.00473728667874	-0.0546010697171	-0.00972256928068	-0.0255556448157	-0.0130489518795	-0.0130735989337	0.00557916270433	0.00417727505243	-0.0414069726597	-0.00397957690441	-0.0077331988926	0.00329742075241	0.00541584879182	-0.000431211196616	-0.0143470086681	0.000275757891155	0.0160460197807	0.0124867011358	-0.0143578918607	-0.00777944218851	0.105058306683	-0.0180819704536	0.0303286700879	-0.00327127873099	0.0392513497533	0.0325139652118	0.00113318990125	-0.00793901675981	0.0294344687007	0.0222263662595	0.027029745148	0.0552069797602	-0.0274103359688	-0.00828711270524	0.0350363684747	-0.00773684500113	-0.0250567507812	0.0404640264614	-0.00185329471923	0.0139637723283	-0.00807649767055	-0.00874526879845	0.0200570061832	-0.0231131773509	-0.00212842351564	0.00712199307408	0.0370494210171	-0.014862250439	-0.0307388889376	-0.0195303556708	0.0252045033532	-0.00614666035624	0.0327879505456	-1.86612534473e-05
